x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.994
0.008,0.992
0.01,0.99
0.012,0.988
0.014,0.986
0.016,0.984
0.018,0.982
0.02,0.98
0.022,0.978
0.024,0.976
0.026,0.974
0.028,0.972
0.03,0.97
0.032,0.966
0.034,0.964
0.036,0.962
0.038,0.96
0.04,0.958
0.042,0.956
0.044,0.948
0.046,0.946
0.048,0.944
0.058,0.942
0.06,0.936
0.062,0.934
0.064,0.93
0.074,0.924
0.076,0.922
0.078,0.92
0.08,0.918
0.082,0.914
0.084,0.912
0.086,0.91
0.088,0.908
0.09,0.904
0.092,0.898
0.096,0.888
0.098,0.884
0.1,0.88
0.102,0.878
0.104,0.87
0.106,0.868
0.108,0.856
0.11,0.852
0.112,0.848
0.13,0.846
0.134,0.842
0.136,0.838
0.138,0.836
0.14,0.834
0.142,0.832
0.144,0.83
0.148,0.828
0.15,0.826
0.152,0.824
0.154,0.822
0.156,0.816
0.158,0.812
0.16,0.81
0.162,0.808
0.164,0.804
0.166,0.802
0.168,0.8
0.17,0.798
0.172,0.796
0.174,0.794
0.176,0.792
0.186,0.79
0.188,0.788
0.19,0.786
0.192,0.78
0.198,0.778
0.2,0.776
0.202,0.772
0.204,0.77
0.206,0.768
0.208,0.766
0.212,0.764
0.214,0.76
0.218,0.758
0.22,0.756
0.222,0.754
0.224,0.732
0.226,0.73
0.228,0.724
0.23,0.722
0.232,0.708
0.248,0.706
0.25,0.704
0.252,0.692
0.254,0.69
0.256,0.682
0.258,0.678
0.26,0.674
0.262,0.668
0.264,0.666
0.266,0.664
0.268,0.664
0.27,0.662
0.272,0.66
0.274,0.658
0.276,0.656
0.3,0.654
0.302,0.652
0.304,0.65
0.306,0.646
0.308,0.64
0.31,0.638
0.312,0.62
0.314,0.612
0.316,0.61
0.318,0.608
0.32,0.606
0.322,0.604
0.324,0.598
0.326,0.582
0.328,0.582
0.33,0.582
0.332,0.58
0.334,0.564
0.336,0.562
0.338,0.55
0.34,0.548
0.342,0.544
0.396,0.544
0.398,0.542
0.4,0.54
0.402,0.538
0.404,0.536
0.406,0.528
0.414,0.526
0.416,0.524
0.418,0.522
0.42,0.522
0.422,0.5
0.424,0.498
0.426,0.496
0.428,0.494
0.43,0.488
0.432,0.486
0.434,0.48
0.436,0.378
0.438,0.372
0.44,0.37
0.442,0.368
0.444,0.368
0.446,0.368
0.486,0.368
0.492,0.368
0.494,0.302
0.496,0.3
0.502,0.296
0.514,0.296
0.516,0.294
0.518,0.294
0.526,0.294
0.528,0.292
0.53,0.292
0.532,0.266
0.534,0.262
0.536,0.258
0.538,0.258
0.54,0.256
0.542,0.256
0.544,0.256
0.546,0.18
0.547,0.0
1.0,0.0
