x_val,nn
0.0,1.0
0.005,0.99
0.01,0.985
0.015,0.98
0.02,0.975
0.025,0.97
0.03,0.965
0.035,0.96
0.04,0.955
0.045,0.95
0.05,0.945
0.055,0.94
0.06,0.935
0.065,0.93
0.07,0.925
0.075,0.92
0.08,0.915
0.085,0.91
0.09,0.905
0.095,0.9
0.1,0.895
0.105,0.89
0.11,0.875
0.125,0.87
0.13,0.865
0.135,0.86
0.14,0.855
0.145,0.85
0.15,0.84
0.16,0.835
0.165,0.83
0.17,0.825
0.175,0.82
0.18,0.815
0.185,0.81
0.19,0.805
0.195,0.8
0.2,0.795
0.205,0.79
0.21,0.785
0.215,0.775
0.22,0.765
0.225,0.755
0.23,0.745
0.235,0.74
0.24,0.735
0.245,0.73
0.25,0.725
0.255,0.72
0.26,0.71
0.265,0.705
0.27,0.7
0.275,0.695
0.305,0.69
0.31,0.68
0.315,0.675
0.32,0.665
0.325,0.66
0.33,0.655
0.335,0.65
0.34,0.645
0.345,0.64
0.35,0.63
0.355,0.625
0.36,0.62
0.38,0.61
0.385,0.59
0.39,0.585
0.395,0.58
0.4,0.57
0.405,0.55
0.41,0.545
0.415,0.54
0.42,0.535
0.425,0.5
0.43,0.47
0.435,0.465
0.44,0.465
0.53,0.46
0.535,0.455
0.54,0.45
0.545,0.445
0.55,0.385
0.555,0.36
0.56,0.355
0.565,0.34
0.57,0.335
0.575,0.325
0.58,0.32
0.585,0.315
0.59,0.295
0.595,0.29
0.6,0.285
0.605,0.285
0.61,0.28
0.615,0.255
0.62,0.255
0.625,0.24
0.63,0.24
0.635,0.17
0.636,0.0
1.0,0.0
