x_val,nn
0.0,1.0
0.005,0.995
0.01,0.99
0.015,0.985
0.02,0.98
0.025,0.975
0.03,0.965
0.035,0.96
0.04,0.955
0.045,0.945
0.05,0.94
0.055,0.925
0.06,0.92
0.065,0.915
0.07,0.91
0.075,0.905
0.08,0.895
0.085,0.89
0.12,0.88
0.125,0.855
0.15,0.85
0.155,0.845
0.16,0.835
0.165,0.83
0.17,0.825
0.175,0.82
0.18,0.81
0.185,0.805
0.19,0.8
0.195,0.795
0.2,0.78
0.205,0.77
0.21,0.76
0.215,0.755
0.22,0.75
0.225,0.74
0.23,0.73
0.235,0.725
0.24,0.715
0.245,0.71
0.295,0.705
0.3,0.7
0.305,0.685
0.31,0.68
0.33,0.67
0.335,0.645
0.365,0.635
0.37,0.63
0.375,0.625
0.38,0.62
0.385,0.61
0.39,0.605
0.4,0.6
0.405,0.595
0.41,0.585
0.415,0.58
0.42,0.555
0.445,0.555
0.45,0.535
0.455,0.525
0.46,0.525
0.465,0.5
0.5,0.5
0.505,0.495
0.51,0.455
0.515,0.45
0.52,0.41
0.525,0.41
0.53,0.3
0.535,0.3
0.54,0.295
0.545,0.24
0.55,0.23
0.555,0.195
0.556,0.0
1.0,0.0
